Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
5855,CA-2015-112214,8/5/2015,8/11/2015,Standard Class,AH-10690,Anna Häberlin (corrected),Corporate,United States,Dallas,Texas,75220,Central,OFF-ST-10001505,Office Supplies,Storage,"Perma_STOR-ALL_Hanging_File_Box,_13_1/8""W_x_12_1/4""D_x_10_1/2""H",33.488,7,0.2,-1.2558
1756,NEW-177-20260304121052,2016-02-05 00:00:00,2016-02-10 00:00:00,Second Class,TT-21460,Tonja Turnell,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-PA-10000100,Office Supplies,Paper,Xerox 1945,405.94,11,0.2,204.73
6207,CA-2016-133697,10/20/2016,10/24/2016,Second Class,CM-12445,Chuck Magee,Consumer,United States,Houston,Texas,77095,Central,OFF-FA-10003112,Office Supplies,Fasteners,Staples,25.248,4,0.2,7.89
2704,CA-2014-143413,5/24/2014,5/30/2014,Standard Class,RP-19390,Resi Pölking,Consumer,United States,Houston,NY,70091,South,OFF-PA-10002319,Office Supplies,Paper,Xerox 1944,116.28,3,0.0,56.9772
39,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Steve Nguyen (corrected),Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic_Metals_Mobile_3-Shelf_Bookcases,_Custom_Colors",532.3992,3,0.32,-46.9764
4209,CA-2014-145387,10/31/2014,11/2/2014,Second Class,AM-10705,Anne McFarland,Consumer,United States,Los Angeles,TX,92863,East,FUR-CH-10002320,Furniture,Chairs,Hon Pagoda Stacking Chairs,1604.9,5,0.0,481.47
3301,US-2014-159926,11/18/2014,11/22/2014,Standard Class,CS-11950,Carlos Soltero,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-ST-10003656,Office Supplies,Storage,Safco_Industrial_Wire_Shelving,76.792,1,0.2,-16.3183
6888,NEW-248-20260304121052,2017-06-27 00:00:00,2017-07-06 00:00:00,Standard Class,LL-16840,Lauren Leatherbury,Consumer,United States,Los Angeles,California,90032,West,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",20.74,3,0.0,8.93
1524,CA-2015-144806,12/6/2015,12/11/2015,Standard Class,GH-14425,Gary Hwang,Consumer,United States,Chicago,IL,13932,Central,OFF-PA-10003039,Office Supplies,Paper,Xerox 1960,198.272,8,0.2,61.96
700,CA-2015-119291,5/14/2015,5/17/2015,First Class,JO-15550,Jesus Ocampo,Home Office,United States,Houston,WA,16257,West,OFF-BI-10001575,Office Supplies,Binders,GBC Linen Binding Covers,18.588,2,0.7,-13.6312
